key,number,source,prop.rem.1,prop.rem.2,prop.rem.3,plot,destination,year,replicate,replicate2
404,9392,Control,0.885089259,0.885089259,0.835,6,Low-N,2010,2,4
405,12707,Control,0.903360053,0.903360053,0.853,6,Low-N,2010,2,5
406,9124,Control,0.931493334,0.931493334,0.881,6,Low-N,2010,2,6
473,12876,High-N,0.815616001,0.815616001,0.766,6,Low-N,2011,2,1
474,9320,High-N,0.817600468,0.817600468,0.768,6,Low-N,2011,2,2
475,12596,High-N,0.859053782,0.859053782,0.809,6,Low-N,2011,2,3
476,12814,High-N,0.848823278,0.848823278,0.799,6,Low-N,2011,2,4
477,12124,High-N,0.86094809,0.86094809,0.811,6,Low-N,2011,2,5
478,9240,High-N,0.877942751,0.877942751,0.828,6,Low-N,2011,2,6
479,9251,High-N,0.033738986,0.033738986,0.033738986,6,Low-N,2011,2,7
549,12617,Low-N,0.764417486,0.764417486,0.714,6,Low-N,2011,2,1
550,12995,Low-N,0.815928717,0.815928717,0.766,6,Low-N,2011,2,2
551,12624,Low-N,0.880809628,0.880809628,0.831,6,Low-N,2011,2,3
552,9131,Low-N,0.934748488,0.934748488,0.885,6,Low-N,2011,2,4
623,12607,Control,0.747077555,0.747077555,0.697,6,Low-N,2011,2,1
624,9364,Control,0.797420969,0.797420969,0.747,6,Low-N,2011,2,2
625,9313,Control,0.845269086,0.845269086,0.795,6,Low-N,2011,2,3
626,9314,Control,0.901323583,0.901323583,0.851,6,Low-N,2011,2,4
627,12330,Control,0.943920476,0.943920476,0.894,6,Low-N,2011,2,5
55,9308,High-N,0.551,0.551,0.501,12,Low-N,2009,3,1
56,9303,High-N,0.687,0.687,0.637,12,Low-N,2009,3,2
57,12517,High-N,0.825,0.825,0.775,12,Low-N,2009,3,3
58,12152,High-N,0.747,0.747,0.697,12,Low-N,2009,3,4
59,12348,High-N,0.919,0.919,0.869,12,Low-N,2009,3,5
130,9375,Low-N,0.616,0.616,0.566,12,Low-N,2009,3,1
131,9083,Low-N,0.672,0.672,0.622,12,Low-N,2009,3,2
132,12130,Low-N,0.78,0.78,0.73,12,Low-N,2009,3,3
133,12675,Low-N,0.785,0.785,0.735,12,Low-N,2009,3,4
134,12085,Low-N,0.816,0.816,0.766,12,Low-N,2009,3,5
205,12403,Control,0.694,0.694,0.644,12,Low-N,2009,3,1
206,12984,Control,0.719,0.719,0.669,12,Low-N,2009,3,2
207,9448,Control,0.872,0.872,0.822,12,Low-N,2009,3,3
208,12728,Control,0.886,0.886,0.836,12,Low-N,2009,3,4
209,12386,Control,0.913,0.913,0.863,12,Low-N,2009,3,5
280,12613,High-N,0.783671464,0.783671464,0.734,12,Low-N,2010,3,1
281,12698,High-N,0.809484129,0.809484129,0.759,12,Low-N,2010,3,2
282,9494,High-N,0.844313001,0.844313001,0.794,12,Low-N,2010,3,3
283,12610,High-N,0.855212907,0.855212907,0.805,12,Low-N,2010,3,4
284,12893,High-N,0.873390331,0.873390331,0.823,12,Low-N,2010,3,5
355,12793,Low-N,0.855582199,0.855582199,0.806,12,Low-N,2010,3,1
356,12510,Low-N,0.890080664,0.890080664,0.84,12,Low-N,2010,3,2
357,9394,Low-N,0.949625852,0.949625852,0.9,12,Low-N,2010,3,3
358,12070,Low-N,0.966074442,0.95,0.916,12,Low-N,2010,3,4
359,9057,Low-N,1.006213512,0.95,0.956,12,Low-N,2010,3,5
430,12117,Control,0.803883697,0.803883697,0.754,12,Low-N,2010,3,1
431,12330,Control,0.884684505,0.884684505,0.835,12,Low-N,2010,3,2
432,12111,Control,0.889684659,0.889684659,0.84,12,Low-N,2010,3,3
433,9395,Control,0.893118802,0.893118802,0.843,12,Low-N,2010,3,4
434,12098,Control,0.908154136,0.908154136,0.858,12,Low-N,2010,3,5
504,12157,High-N,0.815282616,0.815282616,0.765,12,Low-N,2011,3,1
505,12622,High-N,0.823421863,0.823421863,0.773,12,Low-N,2011,3,2
506,12091,High-N,0.833708563,0.833708563,0.784,12,Low-N,2011,3,3
507,12356,High-N,0.8978423,0.8978423,0.848,12,Low-N,2011,3,4
508,12115,High-N,0.920711476,0.920711476,0.871,12,Low-N,2011,3,5
577,9323,Low-N,0.733038889,0.733038889,0.683,12,Low-N,2011,3,1
578,12794,Low-N,0.828908687,0.828908687,0.779,12,Low-N,2011,3,2
579,9440,Low-N,0.851679483,0.851679483,0.802,12,Low-N,2011,3,3
580,12798,Low-N,0.84983108,0.84983108,0.8,12,Low-N,2011,3,4
581,1486,Low-N,0.981407655,0.95,0.931,12,Low-N,2011,3,5
653,12117,Control,0.783781511,0.783781511,0.734,12,Low-N,2011,3,1
654,9300,Control,0.864219116,0.864219116,0.814,12,Low-N,2011,3,2
655,9459,Control,0.927368545,0.927368545,0.877,12,Low-N,2011,3,3
656,12975,Control,0.931934111,0.931934111,0.882,12,Low-N,2011,3,4
657,12613,Control,0.952817978,0.95,0.903,12,Low-N,2011,3,5
60,12036,High-N,0.827,0.827,0.777,13,Low-N,2009,4,1
61,12700,High-N,0.828,0.828,0.778,13,Low-N,2009,4,2
62,12641,High-N,0.833,0.833,0.783,13,Low-N,2009,4,3
63,12706,High-N,0.887,0.887,0.837,13,Low-N,2009,4,4
64,9315,High-N,0.909,0.909,0.859,13,Low-N,2009,4,5
135,12757,Low-N,0.685,0.685,0.635,13,Low-N,2009,4,1
136,9111,Low-N,0.847,0.847,0.797,13,Low-N,2009,4,2
137,9497,Low-N,0.861,0.861,0.811,13,Low-N,2009,4,3
138,12255,Low-N,0.922,0.922,0.872,13,Low-N,2009,4,4
139,9485,Low-N,0.834,0.834,0.784,13,Low-N,2009,4,5
210,12407,Control,0.624,0.624,0.574,13,Low-N,2009,4,1
211,12106,Control,0.708,0.708,0.658,13,Low-N,2009,4,2
212,12019,Control,0.812,0.812,0.762,13,Low-N,2009,4,3
213,12115,Control,0.866,0.866,0.816,13,Low-N,2009,4,4
214,12279,Control,0.929,0.929,0.879,13,Low-N,2009,4,5
285,9433,High-N,0.041825548,0.041825548,0.041825548,13,Low-N,2010,4,1
286,12797,High-N,0.836880728,0.836880728,0.787,13,Low-N,2010,4,2
287,9321,High-N,0.857642301,0.857642301,0.808,13,Low-N,2010,4,3
288,12811,High-N,0.937452275,0.937452275,0.887,13,Low-N,2010,4,4
289,9300,High-N,1.018110291,0.95,0.968,13,Low-N,2010,4,5
360,12240,Low-N,0.880993607,0.880993607,0.831,13,Low-N,2010,4,1
361,12340,Low-N,0.889112725,0.889112725,0.839,13,Low-N,2010,4,2
362,12544,Low-N,0.93224991,0.93224991,0.882,13,Low-N,2010,4,3
363,12748,Low-N,0.936653904,0.936653904,0.887,13,Low-N,2010,4,4
364,12108,Low-N,1.001156073,0.95,0.951,13,Low-N,2010,4,5
435,9249,Control,0.602304723,0.602304723,0.552,13,Low-N,2010,4,1
436,12062,Control,0.771595268,0.771595268,0.722,13,Low-N,2010,4,2
437,9418,Control,0.83083493,0.83083493,0.781,13,Low-N,2010,4,3
438,12689,Control,0.898798374,0.898798374,0.849,13,Low-N,2010,4,4
439,12676,Control,0.964113561,0.95,0.914,13,Low-N,2010,4,5
509,12521,High-N,0.801562849,0.801562849,0.752,13,Low-N,2011,4,1
510,12279,High-N,0.805622542,0.805622542,0.756,13,Low-N,2011,4,2
511,12403,High-N,0.804929045,0.804929045,0.755,13,Low-N,2011,4,3
512,9396,High-N,0.907482018,0.907482018,0.857,13,Low-N,2011,4,4
513,12604,High-N,0.91448881,0.91448881,0.864,13,Low-N,2011,4,5
582,12709,Low-N,0.830028861,0.830028861,0.78,13,Low-N,2011,4,1
583,12779,Low-N,0.835651146,0.835651146,0.786,13,Low-N,2011,4,2
584,9085,Low-N,0.846433351,0.846433351,0.796,13,Low-N,2011,4,3
585,9472,Low-N,0.903594045,0.903594045,0.854,13,Low-N,2011,4,4
586,12171,Low-N,0.941940839,0.941940839,0.892,13,Low-N,2011,4,5
658,12088,Control,0.824027968,0.824027968,0.774,13,Low-N,2011,4,1
659,12868,Control,0.832352214,0.832352214,0.782,13,Low-N,2011,4,2
660,12081,Control,0.890944884,0.890944884,0.841,13,Low-N,2011,4,3
661,12525,Control,0.93491427,0.93491427,0.885,13,Low-N,2011,4,4
662,9384,Control,0.935688592,0.935688592,0.886,13,Low-N,2011,4,5
65,12642,High-N,0.689,0.689,0.639,14,Low-N,2009,5,1
66,12622,High-N,0.771,0.771,0.721,14,Low-N,2009,5,2
67,12412,High-N,0.846,0.846,0.796,14,Low-N,2009,5,3
68,12581,High-N,0.853,0.853,0.803,14,Low-N,2009,5,4
69,12617,High-N,0.889,0.889,0.839,14,Low-N,2009,5,5
140,12829,Low-N,0.68,0.68,0.63,14,Low-N,2009,5,1
141,12337,Low-N,0.763,0.763,0.713,14,Low-N,2009,5,2
142,12028,Low-N,0.794,0.794,0.744,14,Low-N,2009,5,3
143,12052,Low-N,0.883,0.883,0.833,14,Low-N,2009,5,4
144,12671,Low-N,0.895,0.895,0.845,14,Low-N,2009,5,5
215,12782,Control,0.758,0.758,0.708,14,Low-N,2009,5,1
216,12181,Control,0.804,0.804,0.754,14,Low-N,2009,5,2
217,9293,Control,0.85,0.85,0.8,14,Low-N,2009,5,3
218,12879,Control,0.872,0.872,0.822,14,Low-N,2009,5,4
219,12091,Control,0.528,0.528,0.478,14,Low-N,2009,5,5
290,12752,High-N,0.827235501,0.827235501,0.777,14,Low-N,2010,5,1
291,12577,High-N,0.837199548,0.837199548,0.787,14,Low-N,2010,5,2
292,12553,High-N,0.890944464,0.890944464,0.841,14,Low-N,2010,5,3
293,12079,High-N,0.901610978,0.901610978,0.852,14,Low-N,2010,5,4
294,12120,High-N,0.920384938,0.920384938,0.87,14,Low-N,2010,5,5
365,12851,Low-N,0.786713109,0.786713109,0.737,14,Low-N,2010,5,1
366,12669,Low-N,0.863793234,0.863793234,0.814,14,Low-N,2010,5,2
367,12334,Low-N,0.880815438,0.880815438,0.831,14,Low-N,2010,5,3
368,12978,Low-N,0.906356842,0.906356842,0.856,14,Low-N,2010,5,4
369,9345,Low-N,0.934827287,0.934827287,0.885,14,Low-N,2010,5,5
440,12502,Control,0.774170025,0.774170025,0.724,14,Low-N,2010,5,1
441,12396,Control,0.890481609,0.890481609,0.84,14,Low-N,2010,5,2
442,12302,Control,0.900228315,0.900228315,0.85,14,Low-N,2010,5,3
443,12883,Control,0.901451034,0.901451034,0.851,14,Low-N,2010,5,4
444,12583,Control,0.907661939,0.907661939,0.858,14,Low-N,2010,5,5
514,9492,High-N,0.770526488,0.770526488,0.721,14,Low-N,2011,5,1
515,9299,High-N,0.874075506,0.874075506,0.824,14,Low-N,2011,5,2
516,12410,High-N,0.883317962,0.883317962,0.833,14,Low-N,2011,5,3
517,12955,High-N,0.893546688,0.893546688,0.844,14,Low-N,2011,5,4
518,12514,High-N,0.964712974,0.95,0.915,14,Low-N,2011,5,5
587,12817,Low-N,0.73392759,0.73392759,0.684,14,Low-N,2011,5,1
588,9474,Low-N,0.805153406,0.805153406,0.755,14,Low-N,2011,5,2
589,12151,Low-N,0.850101129,0.850101129,0.8,14,Low-N,2011,5,3
590,12751,Low-N,0.885912272,0.885912272,0.836,14,Low-N,2011,5,4
591,12648,Low-N,0.889261782,0.889261782,0.839,14,Low-N,2011,5,5
663,12759,Control,0.792220143,0.792220143,0.742,14,Low-N,2011,5,1
664,12259,Control,0.798392908,0.798392908,0.748,14,Low-N,2011,5,2
665,12944,Control,0.893797391,0.893797391,0.844,14,Low-N,2011,5,3
666,9264,Control,0.910741052,0.910741052,0.861,14,Low-N,2011,5,4
667,12426,Control,0.933037825,0.933037825,0.883,14,Low-N,2011,5,5
