"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"destination",2,0.4259,0.213,5.9603,0.0159
"Residuals  ",12,0.4288,0.0357,,
"source            ",2,0.0222,0.0111,0.9338,0.4069
"source:destination",4,0.0465,0.0116,0.9801,0.437
"Residuals         ",24,0.285,0.0119,,
