"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"destination",2,0.0056,0.0028,0.0905,0.9141
"Residuals  ",12,0.3736,0.0311,,
"source            ",2,0.0555,0.0277,3.2017,0.0585
"source:destination",4,0.0958,0.024,2.7646,0.0507
"Residuals         ",24,0.208,0.0087,,
